distFD_cruda_m;distFI_cruda_m;distMin_cruda_m;distFD_EMA_m;distFI_EMA_m;distMin_EMA_m;pred_kalman_m;dist_kalman_m;K_kalman;P_kalman;AvanceLineal_m;timestamp_s
0.098247;0.098388;0.098247;0.098342;0.098346;0.098342;0.086543;0.089221;0.227008;0.000341;0.002704;13.344
0.098376;0.098358;0.098358;0.098342;0.098378;0.098342;0.086564;0.089238;0.227008;0.000341;0.002639;13.472
0.09826;0.098449;0.09826;0.098359;0.098403;0.098359;0.086605;0.089274;0.227008;0.000341;0.002639;13.6
0.098364;0.098297;0.098297;0.098357;0.098365;0.098357;0.086536;0.08922;0.227008;0.000341;0.002704;13.728
0.098366;0.098326;0.098326;0.098341;0.098324;0.098324;0.086532;0.089209;0.227008;0.000341;0.002704;13.856
0.098302;0.098466;0.098302;0.098385;0.098391;0.098385;0.086551;0.089237;0.227008;0.000341;0.002704;13.984
0.098328;0.09824;0.09824;0.098315;0.098306;0.098306;0.086546;0.089216;0.227008;0.000341;0.002704;14.112
0.098444;0.098379;0.098379;0.098388;0.098346;0.098346;0.086556;0.089232;0.227008;0.000341;0.002704;14.24
0.098299;0.09836;0.098299;0.098281;0.098397;0.098281;0.08655;0.089213;0.227008;0.000341;0.002704;14.368
0.098285;0.098399;0.098285;0.098312;0.098374;0.098312;0.086575;0.08924;0.227008;0.000341;0.002639;14.496
0.098317;0.098423;0.098317;0.09836;0.098368;0.09836;0.08659;0.089262;0.227008;0.000341;0.002639;14.624
0.098443;0.098425;0.098425;0.098386;0.098423;0.098386;0.086636;0.089303;0.227008;0.000341;0.002575;14.752
0.098374;0.098211;0.098211;0.098348;0.098354;0.098348;0.086573;0.089246;0.227008;0.000341;0.002639;14.88
0.098361;0.098431;0.098361;0.09837;0.098382;0.09837;0.086584;0.08926;0.227008;0.000341;0.002639;15.008
0.098331;0.098469;0.098331;0.098357;0.098425;0.098357;0.086532;0.089216;0.227008;0.000341;0.002704;15.136
0.098453;0.098195;0.098195;0.098363;0.098306;0.098306;0.086523;0.089198;0.227008;0.000341;0.002704;15.264
0.098319;0.098465;0.098319;0.098339;0.098362;0.098339;0.086518;0.089202;0.227008;0.000341;0.002704;15.392
0.098229;0.098417;0.098229;0.098308;0.098366;0.098308;0.086528;0.089202;0.227008;0.000341;0.002704;15.52
0.098344;0.098337;0.098337;0.098346;0.098383;0.098346;0.086541;0.089221;0.227008;0.000341;0.002704;15.648
0.098365;0.098428;0.098365;0.09839;0.09843;0.09839;0.086579;0.08926;0.227008;0.000341;0.002704;15.776
0.09839;0.098304;0.098304;0.098382;0.098374;0.098374;0.086606;0.089277;0.227008;0.000341;0.002704;15.904
0.098362;0.09833;0.09833;0.098338;0.098347;0.098338;0.086595;0.089261;0.227008;0.000341;0.002704;16.032
0.098356;0.0983;0.0983;0.098375;0.098324;0.098324;0.086607;0.089267;0.227008;0.000341;0.002639;16.16
0.098262;0.098295;0.098262;0.098362;0.098337;0.098337;0.091295;0.092894;0.227008;0.000341;0.0;16.288
0.098365;0.098475;0.098365;0.098386;0.098438;0.098386;0.095844;0.096421;0.227008;0.000341;0.0;16.416
0.098378;0.098341;0.098341;0.098364;0.098401;0.098364;0.09746;0.097665;0.227008;0.000341;0.0;16.544
0.098426;0.09834;0.09834;0.098417;0.098397;0.098397;0.098057;0.098134;0.227008;0.000341;0.0;16.672
0.098533;0.098293;0.098293;0.098405;0.09839;0.09839;0.098265;0.098293;0.227008;0.000341;0.0;16.8
0.098336;0.098415;0.098336;0.098309;0.098372;0.098309;0.098302;0.098304;0.227008;0.000341;0.0;16.928
0.098289;0.098345;0.098289;0.098301;0.098342;0.098301;0.098292;0.098294;0.227008;0.000341;0.0;17.056
0.098408;0.098243;0.098243;0.098322;0.098314;0.098314;0.098293;0.098298;0.227008;0.000341;0.0;17.184
0.098322;0.098396;0.098322;0.098347;0.098419;0.098347;0.098331;0.098335;0.227008;0.000341;0.0;17.312
0.098472;0.098375;0.098375;0.09839;0.098379;0.098379;0.098331;0.098342;0.227008;0.000341;0.0;17.44
0.098224;0.098282;0.098224;0.09831;0.098344;0.09831;0.098343;0.098336;0.227008;0.000341;0.0;17.568
0.098412;0.098271;0.098271;0.098374;0.098312;0.098312;0.098328;0.098325;0.227008;0.000341;0.0;17.696
0.098355;0.098387;0.098355;0.098406;0.098372;0.098372;0.098345;0.098351;0.227008;0.000341;0.0;17.824
0.098488;0.098419;0.098419;0.098399;0.098391;0.098391;0.09835;0.098359;0.227008;0.000341;0.0;17.952
0.098358;0.098288;0.098288;0.098382;0.098329;0.098329;0.098364;0.098356;0.227008;0.000341;0.0;18.08
0.098384;0.098441;0.098384;0.098391;0.098367;0.098367;0.098345;0.09835;0.227008;0.000341;0.0;18.208
0.098295;0.098359;0.098295;0.098339;0.098319;0.098319;0.098338;0.098334;0.227008;0.000341;0.0;18.336
0.098371;0.098465;0.098371;0.098332;0.098371;0.098332;0.098326;0.098328;0.227008;0.000341;0.0;18.464
0.098417;0.098338;0.098338;0.098366;0.098366;0.098366;0.098342;0.098347;0.227008;0.000341;0.0;18.592
0.098257;0.098264;0.098257;0.098356;0.09831;0.09831;0.098346;0.098338;0.227008;0.000341;0.0;18.72
0.09831;0.098464;0.09831;0.098312;0.09834;0.098312;0.098316;0.098315;0.227008;0.000341;0.0;18.848
0.09826;0.098377;0.09826;0.098323;0.098384;0.098323;0.09833;0.098328;0.227008;0.000341;0.0;18.976
0.098451;0.098318;0.098318;0.098441;0.09836;0.09836;0.098357;0.098358;0.227008;0.000341;0.0;19.104
0.098431;0.098316;0.098316;0.098403;0.098342;0.098342;0.098358;0.098354;0.227008;0.000341;0.0;19.232
0.0984;0.098258;0.098258;0.098403;0.09832;0.09832;0.098337;0.098333;0.227008;0.000341;0.0;19.36
0.098447;0.098302;0.098302;0.098403;0.098355;0.098355;0.09835;0.098351;0.227008;0.000341;0.0;19.488
0.098399;0.098358;0.098358;0.098382;0.098366;0.098366;0.098346;0.09835;0.227008;0.000341;0.0;19.616
0.098439;0.098407;0.098407;0.098406;0.098352;0.098352;0.098342;0.098345;0.227008;0.000341;0.0;19.744
0.098362;0.098389;0.098362;0.098388;0.09836;0.09836;0.098359;0.098359;0.227008;0.000341;0.0;19.872
0.09853;0.098347;0.098347;0.098449;0.098294;0.098294;0.098322;0.098315;0.227008;0.000341;0.0;20.0
0.098393;0.098552;0.098393;0.098383;0.098381;0.098381;0.098309;0.098325;0.227008;0.000341;0.0;20.128
0.098135;0.098478;0.098135;0.098306;0.098366;0.098306;0.098322;0.098318;0.227008;0.000341;0.0;20.256
0.098448;0.098448;0.098448;0.098361;0.098379;0.098361;0.098313;0.098324;0.227008;0.000341;0.0;20.384
0.09841;0.098206;0.098206;0.098398;0.098292;0.098292;0.098328;0.09832;0.227008;0.000341;0.0;20.512
0.098315;0.098307;0.098307;0.09836;0.098302;0.098302;0.09831;0.098308;0.227008;0.000341;0.0;20.64
0.098499;0.098458;0.098458;0.098386;0.098386;0.098386;0.098323;0.098338;0.227008;0.000341;0.0;20.768
0.098447;0.098508;0.098447;0.098366;0.098432;0.098366;0.09834;0.098346;0.227008;0.000341;0.0;20.896
0.098133;0.098358;0.098133;0.0983;0.098393;0.0983;0.098355;0.098343;0.227008;0.000341;0.0;21.024
0.098433;0.098584;0.098433;0.09838;0.098443;0.09838;0.098353;0.098359;0.227008;0.000341;0.0;21.152
0.098257;0.098267;0.098257;0.098334;0.098348;0.098334;0.098355;0.09835;0.227008;0.000341;0.0;21.28
0.098319;0.098405;0.098319;0.098324;0.098352;0.098324;0.098334;0.098332;0.227008;0.000341;0.0;21.408
0.098282;0.098402;0.098282;0.098305;0.098366;0.098305;0.098331;0.098325;0.227008;0.000341;0.0;21.536
0.098319;0.098377;0.098319;0.098347;0.098409;0.098347;0.098331;0.098335;0.227008;0.000341;0.0;21.664
0.098209;0.098416;0.098209;0.098331;0.098401;0.098331;0.098359;0.098353;0.227008;0.000341;0.0;21.792
0.098411;0.098375;0.098375;0.098382;0.098379;0.098379;0.098353;0.098359;0.227008;0.000341;0.0;21.92
0.098377;0.098392;0.098377;0.098347;0.098349;0.098347;0.098353;0.098351;0.227008;0.000341;0.0;22.048
0.098305;0.098401;0.098305;0.098352;0.098349;0.098349;0.098337;0.09834;0.227008;0.000341;0.0;22.176
0.098264;0.098268;0.098264;0.098343;0.098334;0.098334;0.098352;0.098348;0.227008;0.000341;0.0;22.304
0.098274;0.098351;0.098274;0.09832;0.098355;0.09832;0.098335;0.098332;0.227008;0.000341;0.0;22.432
0.09831;0.098338;0.09831;0.098338;0.098316;0.098316;0.09832;0.098319;0.227008;0.000341;0.0;22.56
0.098375;0.09841;0.098375;0.098318;0.098394;0.098318;0.098316;0.098317;0.227008;0.000341;0.0;22.688
0.098353;0.098277;0.098277;0.098346;0.098379;0.098346;0.098324;0.098329;0.227008;0.000341;0.0;22.816
0.098303;0.0983;0.0983;0.098349;0.098329;0.098329;0.098338;0.098336;0.227008;0.000341;0.0;22.944
0.098489;0.098372;0.098372;0.098362;0.098389;0.098362;0.098322;0.098331;0.227008;0.000341;0.0;23.072
0.098387;0.098439;0.098387;0.098378;0.098427;0.098378;0.098344;0.098352;0.227008;0.000341;0.0;23.2
