PoseX_m;PoseY_m;PosePhi_rad;IndiceWaypoint;WP_X_m;WP_Y_m;DistWaypoint_m;ErrorAngular_rad;EstadoArbitro;timestamp_s
0.384707;0.379002;0.827486;1;0.45;0.45;0.096457;-0.000249;waypoint;15.648
0.391943;0.386864;0.827486;1;0.45;0.45;0.085772;-0.000204;waypoint;15.776
0.399174;0.394731;0.827486;1;0.45;0.45;0.075086;-0.000233;waypoint;15.904
0.406405;0.402598;0.827486;1;0.45;0.45;0.064401;-0.000272;waypoint;16.032
0.413641;0.41046;0.827486;1;0.45;0.45;0.053715;-0.000205;waypoint;16.16
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;16.288
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;16.416
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;16.544
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;16.672
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;16.8
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;16.928
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;17.056
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;17.184
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;17.312
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;17.44
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;17.568
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;17.696
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;17.824
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;17.952
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;18.08
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;18.208
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;18.336
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;18.464
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;18.592
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;18.72
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;18.848
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;18.976
