ps0_FD;ps1_DD;ps2_LD;ps3_TD;ps4_TI;ps5_LI;ps6_DI;ps7_FI;Theta_Izq_rad;Theta_Der_rad;DeltaS_Izq_m;DeltaS_Der_m;AvanceLineal_m;GiroAngular_rad;VelLineal_ms;VelAngular_rads;timestamp_s
64.630534;66.488339;63.946335;64.723412;64.45867;71.048035;64.356335;62.568536;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;153.12
62.504757;67.836966;69.857752;77.378675;65.547235;69.976188;62.197845;68.877653;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;153.248
70.052376;68.8876;67.130897;61.745628;63.187432;71.545945;64.599789;62.604114;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;153.376
69.604196;66.788981;75.834005;64.813813;67.09925;69.75198;63.134917;65.742684;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;153.504
69.859991;71.010615;64.987701;65.499771;68.504076;66.157932;69.528448;66.216444;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;153.632
69.84874;66.609729;69.9403;66.999816;64.036493;62.766199;63.66378;63.862415;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;153.76
61.418981;63.551421;64.706001;70.613513;62.053716;67.967204;70.482046;72.298947;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;153.888
68.96744;65.853208;69.126875;68.995018;70.767318;67.234054;63.651842;69.950828;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;154.016
71.150674;69.443583;64.394042;73.209525;73.270669;72.603473;66.210199;70.854963;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;154.144
72.657805;66.636184;65.784996;72.237915;64.201257;65.664523;68.139001;68.453048;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;154.272
67.875567;67.062968;64.822368;68.991487;69.934268;65.758675;65.984211;70.84222;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;154.4
60.821066;68.616527;62.836101;69.25362;66.035383;69.389391;66.537263;66.592509;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;154.528
70.819073;66.339213;64.468939;74.897031;73.660893;71.047005;64.268248;67.464247;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;154.656
65.82903;64.306733;64.294002;64.342661;66.511819;68.65992;69.841264;69.842935;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;154.784
67.74044;63.797026;68.805956;70.954587;69.203929;67.384831;70.218401;72.797273;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;154.912
65.91918;68.440406;62.249893;66.272287;69.18802;70.892814;67.06691;60.063859;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;155.04
67.520727;68.070437;65.444947;69.371172;72.385465;70.326049;68.376203;67.467286;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;155.168
67.417781;66.917592;66.342867;66.278037;68.606517;67.30143;63.259256;74.72212;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;155.296
66.486654;65.25374;67.186429;66.513816;64.271182;68.283218;65.256451;67.847205;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;155.424
69.615908;66.690433;67.331231;71.572607;69.05205;62.201761;66.731794;68.763108;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;155.552
69.110881;65.054567;66.074098;77.156685;66.125793;68.767732;63.785384;67.360447;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;155.68
69.666104;65.749449;67.103166;68.17258;63.317155;69.511815;63.074772;67.693614;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;155.808
71.38717;64.321144;68.4168;69.927376;69.121604;68.839744;68.686863;68.577609;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;155.936
72.281421;67.347205;64.711212;69.838192;62.940404;70.78347;70.761741;73.074851;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;156.064
66.423935;69.023493;64.870158;64.297166;66.163221;65.411649;67.505454;63.280247;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;156.192
69.283077;71.522327;73.126171;66.603289;67.848992;65.973216;66.106198;66.360963;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;156.32
65.860723;65.534838;70.391466;64.816571;65.254348;67.378075;65.705552;69.46019;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;156.448
66.844533;71.372145;64.34261;68.174956;60.21605;67.222055;63.560792;68.066918;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;156.576
65.457622;64.243387;62.510586;69.096075;69.08254;70.920734;67.608962;67.290238;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;156.704
70.195963;63.174408;66.912948;68.509981;74.268525;71.629923;63.171708;58.262264;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;156.832
63.863979;62.738645;64.614178;66.386159;71.638016;67.007143;65.548308;65.493322;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;156.96
64.076595;67.883216;66.573769;67.310247;74.901227;68.330079;67.522054;69.294673;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;157.088
66.70293;65.614521;64.404025;65.958326;68.962434;67.521532;65.291542;66.719027;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;157.216
59.65405;64.27505;65.331249;65.740333;68.406405;61.047096;66.595348;68.246619;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;157.344
69.055794;69.416318;66.859839;62.155178;70.713079;69.068892;64.509974;64.707952;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;157.472
64.268287;69.805338;62.922291;66.214634;69.286036;72.328507;66.024226;67.542195;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;157.6
66.462483;67.216282;72.571223;70.758213;67.638805;64.185998;65.334873;70.909451;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;157.728
68.819915;72.489484;65.238484;66.004411;68.112237;71.511628;72.93522;63.27412;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;157.856
75.377;68.849698;67.141207;70.209761;68.928486;71.833423;66.307835;65.744907;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;157.984
65.611918;71.267751;63.521673;68.271092;72.909437;65.31844;64.111855;68.324536;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;158.112
71.96167;67.441746;66.274571;73.442701;66.388098;68.398901;64.940226;68.336938;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;158.24
67.169383;67.848746;60.965391;69.765317;69.476831;70.714569;68.399742;68.511063;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;158.368
66.304196;67.605128;65.674923;64.027898;63.421781;65.989419;62.585439;70.247727;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;158.496
61.221061;68.861308;67.796377;73.094542;70.295553;65.35599;63.474824;66.520351;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;158.624
69.917341;73.388317;71.493927;64.84598;73.093624;73.148579;68.274035;66.977977;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;158.752
71.053306;64.212398;73.732566;65.937764;70.253138;71.871148;64.086496;63.745567;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;158.88
71.784974;69.31133;65.729781;68.022046;64.314884;69.575727;71.229378;60.83797;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;159.008
64.712389;67.644862;67.033721;71.303191;66.443796;65.202947;72.446826;74.282156;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;159.136
67.852427;70.757205;69.696224;65.844225;65.930455;64.982238;69.920522;64.48607;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;159.264
72.605566;65.413081;68.651459;61.749096;64.916643;65.136456;62.097165;66.174966;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;159.392
67.16744;66.603489;61.501154;67.781343;69.016381;65.305405;65.382303;72.171066;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;159.52
64.431475;73.157553;70.321845;66.508164;62.677682;63.85849;66.073728;69.401912;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;159.648
71.995542;61.193855;68.833099;70.396765;65.951598;68.547874;69.222506;68.83442;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;159.776
64.33496;69.545801;70.99883;66.577944;70.557605;67.789648;68.704444;68.899441;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;159.904
